Sl.no.,English,Kuruk͟h,IPA
1,I,ēn,
2,you (singular),nīn,
3,he,ās,
4,we,ēm,
5,you (plural),nīm,
6,they,ar,
7,this,"īd, idā",
8,that,"ād, adā",
9,here,isan,
10,there,asan,
11,who,nē,
1,what,"endr, endrā",
13,where,astē,
14,when,"ekābīrī, ekābakī",
15,how,ekāsē,
16,not,mal,
17,all,"hormā, hormar, hurmī",
18,many,"baggē, dher",
19,some,thorē,
20,few,not used,
21,other,abrā,
22,one,"ōnd, ontā",
23,two,"dū, duī",
24,three,"tīn, tinō",
25,four,cār,
26,five,pancē,
27,big,kōhā,
28,long,dighā,
29,wide,"cakar ,osar",
30,thick,"mōt, ",
31,heavy,otthā,
32,small,sannī,
33,short,sannī nanā,
34,narrow,saruwā,
35,thin,mēd malla,
36,woman,ālī,
37,man (adult male),āl,
38,man (human being),alarin,
39,child,khadd,
40,wife,mukkā,
41,husband,mētar,
42,mother,yō,
43,father,ba                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,
44,animal,addō-mank͟hā,
45,fish,injō,
46,bird,ōrā,
47,dog,allā,
48,louse,pē̃n,
49,snake,nerr,
50,worm,garam,
51,tree,mann,
52,forest,torang,
53,stick,tempā,
54,fruit,khanjpā,
55,seed,bihnī,
56,leaf,atk͟hā,
57,root,"mūlī, sōr",
58,bark,baklā,
59,flower,pũp,
60,grass, ghãsī,
61,rope,pagha,
62,skin,captā,
63,meat,arhā,
64,blood,"k͟hẽso, k͟hẽs",
65,bone,tongrā,
66,fat (n.),"mōt, car̄bī ",
67,egg,bī,
68,horn,marg,
69,tail,kholā,
70,feather,penchō,
71,hair,cuttī,
72,head,kukk,
73,ear,khebdā,
74,eye,khān,
75,nose,muhī,
76,mouth,bae,
77,tooth,pāl,
78,tongue,tatk͟hā,
79,fingernail,orok͟h,
80,foot,K͟heḍḍ,
81,leg,k͟heḍḍ,
82,knee,mukā,
83,hand,khek͟hkā,
84,wing,denā,
85,belly,kūl,
86,guts,poṭṭā,
87,neck,k͟heser,
88,back,med,
89,breast,eõk͟h,
90,heart,bukā,
91,liver,umbalk͟hō,
92,drink,onn,
93,eat,mōk͟hnā,
94,bite,cabnā,
95,suck,surupnā,
96,spit,tuppnā,
97,vomit,putturnā,
98,blow,tāgrnā,
99,breathe,sãs,
100,laugh,alk͟hnā,
101,see,ernā,
102,hear,mennā,
103,know,ak͟h̕nā,
104,think,iyad,
105,smell,gundhī,
106,fear,elcnā,
107,sleep,k͟handrnā,
108,live,ujjnā,
109,die,k͟hē̕enā,
110,kill,pitnā,
111,fight,larnā,
112,hunt,sendrā,
113,hit,lounā,
114,cut,k͟handnā,
115,split,tuḳra-nannā,
116,stab,lauchār,
117,scratch,k͟hamcnā,
118,dig,ark͟hnā,
119,swim,ōgnā,
120,fly (v.),urhyārnā,
121,walk,ēknā,
122,come,barnā,
123,lie,thaknā,
124,sit,okknā. okkn,
125,stand,"ij̕ā, ignā",
126,turn,kirnā,
127,fall,k͟hatrnā,
128,give,ci̕inā,
129,hold,dharnā,
130,squeeze,cipnā,
131,rub,"k͟hasnā, nịgna",
󰀡,wash,nō̃ṛnā,
133,wipe,cī̃k͟hnā,
134,pull,cōdnā,
135,push,tukknā,
136,throw,hebṛnā,
137,tie,he̕enā,
138,sew,ojjnā,
